@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 {0,1,2}

@data
484,'2017/02/18 17:15:26:164',2,853.406616,841.721619,842.93042,913.84613,851.794861,1
485,'2017/02/18 17:15:27:170',2,850.989014,843.736267,843.736267,884.432251,819.963379,1
486,'2017/02/18 17:15:27:171',2,859.047607,848.168518,846.15387,866.703308,855.421265,1
487,'2017/02/18 17:15:27:172',2,853.809509,842.527466,841.318665,880.402954,846.959717,1
488,'2017/02/18 17:15:27:174',2,836.886475,846.959717,838.095215,893.699646,853.003662,1
489,'2017/02/18 17:15:27:174',2,861.062256,847.36261,844.945068,849.377319,827.216125,1
490,'2017/02/18 17:15:27:175',2,844.542114,844.945068,842.124512,860.256409,815.531128,1
491,'2017/02/18 17:15:27:176',2,870.732605,847.765564,844.542114,906.593384,802.234436,1
492,'2017/02/18 17:15:27:177',2,840.915771,846.959717,842.93042,857.435913,825.201477,1
493,'2017/02/18 17:15:27:178',2,817.142883,847.36261,844.945068,819.560425,804.249084,1
494,'2017/02/18 17:15:27:178',2,845.347961,845.347961,840.915771,884.029297,825.60437,1
495,'2017/02/18 17:15:27:180',2,836.080566,846.556763,836.886475,855.018311,808.681335,1
496,'2017/02/18 17:15:27:181',2,847.765564,852.197815,836.886475,825.201477,840.915771,1
497,'2017/02/18 17:15:27:181',2,839.304016,848.974365,834.468872,859.853455,846.959717,1
498,'2017/02/18 17:15:27:183',2,829.633728,849.780212,834.468872,888.058594,845.347961,1
499,'2017/02/18 17:15:27:184',2,832.454224,853.406616,830.439575,816.739929,835.677673,1
500,'2017/02/18 17:15:27:184',2,848.974365,846.15387,833.663025,832.454224,819.560425,1
501,'2017/02/18 17:15:27:187',2,840.109863,846.15387,829.230774,863.479858,861.868103,1
502,'2017/02/18 17:15:27:188',2,847.36261,847.36261,832.05127,840.109863,833.260071,1
503,'2017/02/18 17:15:27:188',2,831.648376,845.347961,839.304016,818.754578,845.347961,1
504,'2017/02/18 17:15:27:188',2,809.487183,849.377319,838.498169,865.897461,813.113525,1
505,'2017/02/18 17:15:27:190',2,873.553101,844.945068,837.289368,878.388306,861.062256,1
506,'2017/02/18 17:15:27:191',2,808.278381,843.333313,837.692322,813.919434,893.296692,1
507,'2017/02/18 17:15:27:192',2,855.421265,846.15387,837.692322,860.659363,834.468872,1
508,'2017/02/18 17:15:27:192',2,859.450562,844.945068,831.245422,888.058594,816.739929,1
509,'2017/02/18 17:15:27:194',2,834.871765,845.347961,832.05127,826.410278,842.93042,1
510,'2017/02/18 17:15:27:195',2,836.080566,844.139221,834.468872,826.813171,811.904785,1
511,'2017/02/18 17:15:27:196',2,823.186829,846.556763,826.813171,872.747253,831.648376,1
512,'2017/02/18 17:15:27:196',2,853.003662,841.721619,838.901123,839.70697,831.648376,1
513,'2017/02/18 17:15:27:197',2,841.318665,853.406616,840.915771,833.663025,838.095215,1
514,'2017/02/18 17:15:27:197',2,857.032959,847.36261,836.483521,880,836.886475,1
515,'2017/02/18 17:15:27:198',2,829.230774,848.571411,834.871765,860.659363,836.483521,1
516,'2017/02/18 17:15:27:198',2,839.304016,833.260071,839.70697,819.157532,821.17218,1
517,'2017/02/18 17:15:27:198',2,851.391968,852.197815,834.871765,834.871765,815.531128,1
518,'2017/02/18 17:15:27:199',2,821.575073,843.736267,829.633728,869.12085,818.754578,1
519,'2017/02/18 17:15:27:199',2,834.871765,860.659363,828.82782,803.84613,834.065918,1
520,'2017/02/18 17:15:27:200',2,817.142883,854.212463,829.230774,795.787537,857.838806,1
521,'2017/02/18 17:15:27:200',2,799.816833,855.018311,827.216125,870.329651,864.68866,1
522,'2017/02/18 17:15:27:201',2,875.970703,902.564087,825.60437,820.769226,838.095215,1
523,'2017/02/18 17:15:27:201',2,915.054932,846.959717,830.439575,821.575073,849.377319,1
524,'2017/02/18 17:15:27:202',2,939.230774,866.703308,810.695984,803.443237,889.267395,1
525,'2017/02/18 17:15:27:202',2,943.260071,886.849792,815.531128,846.959717,889.267395,1
526,'2017/02/18 17:15:27:202',2,868.315002,863.479858,819.560425,767.179504,806.666687,1
527,'2017/02/18 17:15:27:203',2,1056.483521,815.934082,834.468872,785.31134,851.391968,1
528,'2017/02/18 17:15:27:203',2,1049.230713,824.798523,840.915771,877.582397,826.813171,1
529,'2017/02/18 17:15:27:203',2,1039.560425,859.450562,837.289368,744.212463,827.216125,1
530,'2017/02/18 17:15:27:204',2,1046.410278,839.70697,846.556763,779.670349,796.593384,1
531,'2017/02/18 17:15:27:204',2,1086.703247,832.05127,849.780212,847.36261,807.875488,1
532,'2017/02/18 17:15:27:204',2,997.252747,836.080566,841.721619,838.095215,796.996338,1
533,'2017/02/18 17:15:27:204',2,982.344299,834.065918,847.36261,800.219788,807.875488,1
534,'2017/02/18 17:15:27:205',2,915.860779,856.227112,837.289368,833.260071,837.692322,1
535,'2017/02/18 17:15:27:205',2,915.860779,819.157532,856.630066,855.824158,847.765564,1
536,'2017/02/18 17:15:27:206',2,830.439575,850.989014,848.168518,737.765564,781.684998,1
537,'2017/02/18 17:15:27:206',2,826.813171,822.783875,853.809509,791.75824,812.307678,1
538,'2017/02/18 17:15:27:207',2,802.234436,830.842468,860.256409,841.721619,818.351624,1
